일자,지역,연매출 3억원 이하,연매출 3억~30억원,연매출 30억원 초과,월 결제 한도
2021-04-01,인천광역시 계양구,10%,10%,10%,100만원
2021-04-01,인천광역시 남동구,10%,10%,10%,100만원
2021-04-01,인천광역시 동구,10%,10%,10%,100만원
2021-04-01,인천광역시 중구,10%,10%,10%,100만원
2021-04-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-04-01,인천광역시 부평구,10%,10%,10%,100만원
2021-04-01,인천광역시 연수구,10%,10%,10%,100만원
2021-04-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-04-01,인천광역시 강화군,10%,10%,10%,100만원
2021-05-01,인천광역시 서구,10%,10%,10%,100만원
2021-05-01,인천광역시 계양구,10%,10%,10%,100만원
2021-05-01,인천광역시 남동구,10%,10%,10%,100만원
2021-05-01,인천광역시 동구,10%,10%,10%,100만원
2021-05-01,인천광역시 중구,10%,10%,10%,100만원
2021-05-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-05-01,인천광역시 부평구,10%,10%,10%,100만원
2021-05-01,인천광역시 연수구,10%,10%,10%,100만원
2021-05-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-05-01,인천광역시 강화군,10%,10%,10%,100만원
2021-06-01,인천광역시 서구,10%,10%,10%,100만원
2021-06-01,인천광역시 계양구,10%,10%,10%,100만원
2021-06-01,인천광역시 남동구,10%,10%,10%,100만원
2021-06-01,인천광역시 동구,10%,10%,10%,100만원
2021-06-01,인천광역시 중구,10%,10%,10%,100만원
2021-06-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-06-01,인천광역시 부평구,10%,10%,10%,100만원
2021-06-01,인천광역시 연수구,10%,10%,10%,100만원
2021-06-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-06-01,인천광역시 강화군,10%,10%,10%,100만원
2021-07-01,인천광역시 서구,10%,10%,10%,100만원
2021-07-01,인천광역시 계양구,10%,10%,10%,100만원
2021-07-01,인천광역시 남동구,10%,10%,10%,100만원
2021-07-01,인천광역시 동구,10%,10%,10%,100만원
2021-07-01,인천광역시 중구,10%,10%,10%,100만원
2021-07-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-07-01,인천광역시 부평구,10%,10%,10%,100만원
2021-07-01,인천광역시 연수구,10%,10%,10%,100만원
2021-07-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-07-01,인천광역시 강화군,10%,10%,10%,100만원
2021-08-01,인천광역시 서구,10%,10%,10%,100만원
2021-08-01,인천광역시 계양구,10%,10%,10%,100만원
2021-08-01,인천광역시 남동구,10%,10%,10%,100만원
2021-08-01,인천광역시 동구,10%,10%,10%,100만원
2021-08-01,인천광역시 중구,10%,10%,10%,100만원
2021-08-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-08-01,인천광역시 부평구,10%,10%,10%,100만원
2021-08-01,인천광역시 연수구,10%,10%,10%,100만원
2021-08-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-08-01,인천광역시 강화군,10%,10%,10%,100만원
2021-09-01,인천광역시 서구,10%,10%,10%,100만원
2021-09-01,인천광역시 계양구,10%,10%,10%,100만원
2021-09-01,인천광역시 남동구,10%,10%,10%,100만원
2021-09-01,인천광역시 동구,10%,10%,10%,100만원
2021-09-01,인천광역시 중구,10%,10%,10%,100만원
2021-09-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-09-01,인천광역시 부평구,10%,10%,10%,100만원
2021-09-01,인천광역시 연수구,10%,10%,10%,100만원
2021-09-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-09-01,인천광역시 강화군,10%,10%,10%,100만원
2021-10-01,인천광역시 서구,10%,10%,10%,100만원
2021-10-01,인천광역시 계양구,10%,10%,10%,100만원
2021-10-01,인천광역시 남동구,10%,10%,10%,100만원
2021-10-01,인천광역시 동구,10%,10%,10%,100만원
2021-10-01,인천광역시 중구,10%,10%,10%,100만원
2021-10-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-10-01,인천광역시 부평구,10%,10%,10%,100만원
2021-10-01,인천광역시 연수구,10%,10%,10%,100만원
2021-10-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-10-01,인천광역시 강화군,10%,10%,10%,100만원
2021-11-01,인천광역시 서구,10%,10%,10%,100만원
2021-11-01,인천광역시 계양구,10%,10%,10%,100만원
2021-11-01,인천광역시 남동구,10%,10%,10%,100만원
2021-11-01,인천광역시 동구,10%,10%,10%,100만원
2021-11-01,인천광역시 중구,10%,10%,10%,100만원
2021-11-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-11-01,인천광역시 부평구,10%,10%,10%,100만원
2021-11-01,인천광역시 연수구,10%,10%,10%,100만원
2021-11-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-11-01,인천광역시 강화군,10%,10%,10%,100만원
2021-12-01,인천광역시 서구,10%,10%,10%,100만원
2021-12-01,인천광역시 계양구,10%,10%,10%,100만원
2021-12-01,인천광역시 남동구,10%,10%,10%,100만원
2021-12-01,인천광역시 동구,10%,10%,10%,100만원
2021-12-01,인천광역시 중구,10%,10%,10%,100만원
2021-12-01,인천광역시 미추홀구,10%,10%,10%,100만원
2021-12-01,인천광역시 부평구,10%,10%,10%,100만원
2021-12-01,인천광역시 연수구,10%,10%,10%,100만원
2021-12-01,인천광역시 옹진군,10%,10%,10%,100만원
2021-12-01,인천광역시 강화군,10%,10%,10%,100만원
2022-01-01,인천광역시 서구,10%,10%,10%,100만원
2022-01-01,인천광역시 계양구,10%,10%,10%,100만원
2022-01-01,인천광역시 남동구,10%,10%,10%,100만원
2022-01-01,인천광역시 동구,10%,10%,10%,100만원
2022-01-01,인천광역시 중구,10%,10%,10%,100만원
2022-01-01,인천광역시 미추홀구,10%,10%,10%,100만원
2022-01-01,인천광역시 부평구,10%,10%,10%,100만원
2022-01-01,인천광역시 연수구,10%,10%,10%,100만원
2022-01-01,인천광역시 옹진군,10%,10%,10%,100만원
2022-01-01,인천광역시 강화군,10%,10%,10%,100만원
2022-02-01,인천광역시 서구,10%,10%,10%,100만원
2022-02-01,인천광역시 계양구,10%,10%,10%,100만원
2022-02-01,인천광역시 남동구,10%,10%,10%,100만원
2022-02-01,인천광역시 동구,10%,10%,10%,100만원
2022-02-01,인천광역시 중구,10%,10%,10%,100만원
2022-02-01,인천광역시 미추홀구,10%,10%,10%,100만원
2022-02-01,인천광역시 부평구,10%,10%,10%,100만원
2022-02-01,인천광역시 연수구,10%,10%,10%,100만원
2022-02-01,인천광역시 옹진군,10%,10%,10%,100만원
2022-02-01,인천광역시 강화군,10%,10%,10%,100만원
2022-03-01,인천광역시 서구,10%,10%,10%,100만원
2022-03-01,인천광역시 계양구,10%,10%,10%,100만원
2022-03-01,인천광역시 남동구,10%,10%,10%,100만원
2022-03-01,인천광역시 동구,10%,10%,10%,100만원
2022-03-01,인천광역시 중구,10%,10%,10%,100만원
2022-03-01,인천광역시 미추홀구,10%,10%,10%,100만원
2022-03-01,인천광역시 부평구,10%,10%,10%,100만원
2022-03-01,인천광역시 연수구,10%,10%,10%,100만원
2022-03-01,인천광역시 옹진군,10%,10%,10%,100만원
2022-03-01,인천광역시 강화군,10%,10%,10%,100만원
2022-04-01,인천광역시 서구,10%,10%,10%,100만원
2022-04-01,인천광역시 계양구,10%,10%,10%,100만원
2022-04-01,인천광역시 남동구,10%,10%,10%,100만원
2022-04-01,인천광역시 동구,10%,10%,10%,100만원
2022-04-01,인천광역시 중구,10%,10%,10%,100만원
2022-04-01,인천광역시 미추홀구,10%,10%,10%,100만원
2022-04-01,인천광역시 부평구,10%,10%,10%,100만원
2022-04-01,인천광역시 연수구,10%,10%,10%,100만원
2022-04-01,인천광역시 옹진군,10%,10%,10%,100만원
2022-04-01,인천광역시 강화군,10%,10%,10%,100만원
2022-05-01,인천광역시 서구,10%,10%,10%,100만원
2022-05-01,인천광역시 계양구,10%,10%,10%,100만원
2022-05-01,인천광역시 남동구,10%,10%,10%,100만원
2022-05-01,인천광역시 동구,10%,10%,10%,100만원
2022-05-01,인천광역시 중구,10%,10%,10%,100만원
2022-05-01,인천광역시 미추홀구,10%,10%,10%,100만원
2022-05-01,인천광역시 부평구,10%,10%,10%,100만원
2022-05-01,인천광역시 연수구,10%,10%,10%,100만원
2022-05-01,인천광역시 옹진군,10%,10%,10%,100만원
2022-05-01,인천광역시 강화군,10%,10%,10%,100만원
2022-06-01,인천광역시 서구,10%,10%,10%,100만원
2022-06-01,인천광역시 계양구,10%,10%,10%,100만원
2022-06-01,인천광역시 남동구,10%,10%,10%,100만원
2022-06-01,인천광역시 동구,10%,10%,10%,100만원
2022-06-01,인천광역시 중구,10%,10%,10%,100만원
2022-06-01,인천광역시 미추홀구,10%,10%,10%,100만원
2022-06-01,인천광역시 부평구,10%,10%,10%,100만원
2022-06-01,인천광역시 연수구,10%,10%,10%,100만원
2022-06-01,인천광역시 옹진군,10%,10%,10%,100만원
2022-06-01,인천광역시 강화군,10%,10%,10%,100만원
2022-07-01,인천광역시 서구,5%,5%,5%,30만원
2022-07-01,인천광역시 계양구,5%,5%,5%,30만원
2022-07-01,인천광역시 남동구,5%,5%,5%,30만원
2022-07-01,인천광역시 동구,5%,5%,5%,30만원
2022-07-01,인천광역시 중구,5%,5%,5%,30만원
2022-07-01,인천광역시 미추홀구,5%,5%,5%,30만원
2022-07-01,인천광역시 부평구,5%,5%,5%,30만원
2022-07-01,인천광역시 연수구,5%,5%,5%,30만원
2022-07-01,인천광역시 옹진군,5%,5%,5%,30만원
2022-07-01,인천광역시 강화군,5%,5%,5%,30만원
2022-08-01,인천광역시 서구,5%,5%,5%,30만원
2022-08-01,인천광역시 계양구,5%,5%,5%,30만원
2022-08-01,인천광역시 남동구,5%,5%,5%,30만원
2022-08-01,인천광역시 동구,5%,5%,5%,30만원
2022-08-01,인천광역시 중구,5%,5%,5%,30만원
2022-08-01,인천광역시 미추홀구,5%,5%,5%,30만원
2022-08-01,인천광역시 부평구,5%,5%,5%,30만원
2022-08-01,인천광역시 연수구,5%,5%,5%,30만원
2022-08-01,인천광역시 옹진군,5%,5%,5%,30만원
2022-08-01,인천광역시 강화군,5%,5%,5%,30만원
2022-09-01,인천광역시 서구,5%,5%,5%,30만원
2022-09-01,인천광역시 계양구,5%,5%,5%,30만원
2022-09-01,인천광역시 남동구,5%,5%,5%,30만원
2022-09-01,인천광역시 동구,5%,5%,5%,30만원
2022-09-01,인천광역시 중구,5%,5%,5%,30만원
2022-09-01,인천광역시 미추홀구,5%,5%,5%,30만원
2022-09-01,인천광역시 부평구,5%,5%,5%,30만원
2022-09-01,인천광역시 연수구,5%,5%,5%,30만원
2022-09-01,인천광역시 옹진군,5%,5%,5%,30만원
2022-09-01,인천광역시 강화군,5%,5%,5%,30만원
2022-10-01,인천광역시 서구,10%,5%,5%,30만원
2022-10-01,인천광역시 계양구,10%,5%,5%,30만원
2022-10-01,인천광역시 남동구,10%,5%,5%,30만원
2022-10-01,인천광역시 동구,10%,5%,5%,30만원
2022-10-01,인천광역시 중구,10%,5%,5%,30만원
2022-10-01,인천광역시 미추홀구,10%,5%,5%,30만원
2022-10-01,인천광역시 부평구,10%,5%,5%,30만원
2022-10-01,인천광역시 연수구,10%,5%,5%,30만원
2022-10-01,인천광역시 옹진군,10%,5%,5%,30만원
2022-10-01,인천광역시 강화군,10%,5%,5%,30만원
2022-11-01,인천광역시 서구,10%,5%,5%,30만원
