일자,지역,연매출 3억원 이하,연매출 3억~30억원,연매출 30억원 초과,월 결제 한도
2024-05-01,인천광역시 서구,10%,7%,0%,30만원
2024-05-01,인천광역시 계양구,10%,7%,0%,30만원
2024-05-01,인천광역시 남동구,10%,7%,0%,30만원
2024-05-01,인천광역시 동구,10%,7%,0%,30만원
2024-05-01,인천광역시 중구,10%,7%,0%,30만원
2024-05-01,인천광역시 미추홀구,10%,7%,0%,30만원
2024-05-01,인천광역시 부평구,10%,7%,0%,30만원
2024-05-01,인천광역시 연수구,10%,7%,0%,30만원
2024-05-01,인천광역시 옹진군,10%,7%,0%,30만원
2024-05-01,인천광역시 강화군,10%,7%,0%,30만원
2024-06-01,인천광역시 서구,10%,5%,0%,30만원
2024-06-01,인천광역시 계양구,10%,5%,0%,30만원
2024-06-01,인천광역시 남동구,10%,5%,0%,30만원
2024-06-01,인천광역시 동구,10%,5%,0%,30만원
2024-06-01,인천광역시 중구,10%,5%,0%,30만원
2024-06-01,인천광역시 미추홀구,10%,5%,0%,30만원
2024-06-01,인천광역시 부평구,10%,5%,0%,30만원
2024-06-01,인천광역시 연수구,10%,5%,0%,30만원
2024-06-01,인천광역시 옹진군,10%,5%,0%,30만원
2024-06-01,인천광역시 강화군,10%,5%,0%,30만원
2024-07-01,인천광역시 서구,10%,5%,0%,30만원
2024-07-01,인천광역시 계양구,10%,5%,0%,30만원
2024-07-01,인천광역시 남동구,10%,5%,0%,30만원
2024-07-01,인천광역시 동구,10%,5%,0%,30만원
2024-07-01,인천광역시 중구,10%,5%,0%,30만원
2024-07-01,인천광역시 미추홀구,10%,5%,0%,30만원
2024-07-01,인천광역시 부평구,10%,5%,0%,30만원
2024-07-01,인천광역시 연수구,10%,5%,0%,30만원
2024-07-01,인천광역시 옹진군,10%,10%,0%,30만원
2024-07-01,인천광역시 강화군,10%,10%,0%,30만원
2024-08-01,인천광역시 서구,10%,5%,0%,30만원
2024-08-01,인천광역시 계양구,10%,5%,0%,30만원
2024-08-01,인천광역시 남동구,10%,5%,0%,30만원
2024-08-01,인천광역시 동구,10%,5%,0%,30만원
2024-08-01,인천광역시 중구,10%,5%,0%,30만원
2024-08-01,인천광역시 미추홀구,10%,5%,0%,30만원
2024-08-01,인천광역시 부평구,10%,5%,0%,30만원
2024-08-01,인천광역시 연수구,10%,5%,0%,30만원
2024-08-01,인천광역시 옹진군,10%,10%,0%,30만원
2024-08-01,인천광역시 강화군,10%,10%,0%,30만원
2024-09-01,인천광역시 서구,10%,7%,0%,30만원
2024-09-01,인천광역시 계양구,10%,7%,0%,30만원
2024-09-01,인천광역시 남동구,10%,7%,0%,30만원
2024-09-01,인천광역시 동구,10%,7%,0%,30만원
2024-09-01,인천광역시 중구,10%,7%,0%,30만원
2024-09-01,인천광역시 미추홀구,10%,7%,0%,30만원
2024-09-01,인천광역시 부평구,10%,7%,0%,30만원
2024-09-01,인천광역시 연수구,10%,7%,0%,30만원
2024-09-01,인천광역시 옹진군,10%,10%,0%,30만원
2024-09-01,인천광역시 강화군,10%,10%,0%,30만원
2024-10-01,인천광역시 서구,10%,5%,0%,30만원
2024-10-01,인천광역시 계양구,10%,5%,0%,30만원
2024-10-01,인천광역시 남동구,10%,5%,0%,30만원
2024-10-01,인천광역시 동구,10%,5%,0%,30만원
2024-10-01,인천광역시 중구,10%,5%,0%,30만원
2024-10-01,인천광역시 미추홀구,10%,5%,0%,30만원
2024-10-01,인천광역시 부평구,10%,5%,0%,30만원
2024-10-01,인천광역시 연수구,10%,5%,0%,30만원
2024-10-01,인천광역시 옹진군,10%,10%,0%,30만원
2024-10-01,인천광역시 강화군,10%,10%,0%,30만원
2024-11-01,인천광역시 서구,10%,5%,0%,30만원
2024-11-01,인천광역시 계양구,10%,5%,0%,30만원
2024-11-01,인천광역시 남동구,10%,5%,0%,30만원
2024-11-01,인천광역시 동구,10%,5%,0%,30만원
2024-11-01,인천광역시 중구,10%,5%,0%,30만원
2024-11-01,인천광역시 미추홀구,10%,5%,0%,30만원
2024-11-01,인천광역시 부평구,10%,5%,0%,30만원
2024-11-01,인천광역시 연수구,10%,5%,0%,30만원
2024-11-01,인천광역시 옹진군,10%,10%,0%,30만원
2024-11-01,인천광역시 강화군,10%,10%,0%,30만원
2024-12-01,인천광역시 서구,10%,5%,0%,30만원
2024-12-01,인천광역시 계양구,10%,5%,0%,30만원
2024-12-01,인천광역시 남동구,10%,5%,0%,30만원
2024-12-01,인천광역시 동구,10%,5%,0%,30만원
2024-12-01,인천광역시 중구,10%,5%,0%,30만원
2024-12-01,인천광역시 미추홀구,10%,5%,0%,30만원
2024-12-01,인천광역시 부평구,10%,5%,0%,30만원
2024-12-01,인천광역시 연수구,10%,5%,0%,30만원
2024-12-01,인천광역시 옹진군,10%,10%,0%,30만원
2024-12-01,인천광역시 강화군,10%,10%,0%,30만원
2025-01-01,인천광역시 서구,10%,5%,0%,30만원
2025-01-01,인천광역시 계양구,10%,5%,0%,30만원
2025-01-01,인천광역시 남동구,10%,5%,0%,30만원
2025-01-01,인천광역시 동구,10%,5%,0%,30만원
2025-01-01,인천광역시 중구,10%,5%,0%,30만원
2025-01-01,인천광역시 미추홀구,10%,5%,0%,30만원
2025-01-01,인천광역시 부평구,10%,5%,0%,30만원
2025-01-01,인천광역시 연수구,10%,5%,0%,30만원
2025-01-01,인천광역시 옹진군,10%,10%,0%,30만원
2025-01-01,인천광역시 강화군,10%,10%,0%,30만원
2025-02-01,인천광역시 서구,10%,5%,0%,30만원
2025-02-01,인천광역시 계양구,10%,5%,0%,30만원
2025-02-01,인천광역시 남동구,10%,5%,0%,30만원
2025-02-01,인천광역시 동구,10%,5%,0%,30만원
2025-02-01,인천광역시 중구,10%,5%,0%,30만원
2025-02-01,인천광역시 미추홀구,10%,5%,0%,30만원
2025-02-01,인천광역시 부평구,10%,5%,0%,30만원
2025-02-01,인천광역시 연수구,10%,5%,0%,30만원
2025-02-01,인천광역시 옹진군,10%,10%,0%,30만원
2025-02-01,인천광역시 강화군,10%,10%,0%,30만원
